iter	Passed	Remaining
0	10	20806
1	13	13323
2	17	11606
3	22	11295
4	26	10542
5	29	9910
6	33	9554
7	36	9013
8	38	8558
9	41	8186
10	43	7891
11	46	7642
12	48	7426
13	51	7253
14	53	7086
15	55	6840
16	57	6727
17	60	6624
18	61	6461
19	64	6379
20	66	6305
21	69	6268
22	71	6173
23	74	6101
24	76	6023
25	78	5965
26	80	5918
27	82	5826
28	85	5785
29	87	5747
30	89	5714
31	92	5698
32	95	5666
33	97	5631
34	99	5608
35	102	5589
36	105	5571
37	106	5510
38	108	5468
39	111	5446
40	113	5409
41	114	5342
42	117	5331
43	119	5316
44	121	5297
45	124	5281
46	126	5262
47	128	5244
48	130	5185
49	132	5169
50	134	5152
51	137	5141
52	139	5125
53	141	5108
54	144	5098
55	146	5082
56	147	5038
57	150	5027
58	152	5016
59	154	5006
60	156	4967
61	158	4949
62	160	4943
63	162	4925
64	165	4912
65	167	4902
66	169	4898
67	172	4888
68	173	4869
69	176	4854
70	178	4846
71	180	4832
72	182	4815
73	184	4808
74	186	4791
75	189	4785
76	191	4771
77	192	4738
78	194	4727
79	196	4723
80	199	4716
81	200	4693
82	203	4689
83	205	4687
84	207	4665
85	209	4661
86	211	4657
87	214	4664
88	217	4679
89	220	4678
90	222	4673
91	224	4650
92	227	4667
93	230	4676
94	233	4677
95	235	4677
96	238	4671
97	240	4668
98	242	4665
99	244	4643
100	246	4640
101	249	4638
102	252	4651
103	255	4656
104	257	4647
105	259	4640
106	262	4638
107	264	4631
108	267	4648
109	270	4639
110	272	4633
111	273	4613
112	275	4599
113	277	4584
114	278	4569
115	280	4549
116	281	4532
117	282	4509
118	284	4494
119	285	4478
120	287	4459
121	288	4445
122	290	4432
123	292	4421
124	293	4405
125	295	4392
126	296	4379
127	298	4366
128	300	4353
129	301	4338
130	303	4328
131	305	4317
132	306	4304
133	308	4289
134	309	4275
135	310	4261
136	312	4247
137	313	4234
138	314	4211
139	316	4198
140	317	4186
141	319	4175
142	320	4162
143	322	4152
144	323	4141
145	325	4130
146	326	4117
147	328	4105
148	329	4093
149	331	4082
150	332	4071
151	334	4062
152	335	4046
153	336	4038
154	338	4029
155	340	4019
156	341	4012
157	343	4004
158	345	3994
159	346	3986
160	348	3976
161	348	3957
162	350	3947
163	351	3939
164	353	3931
165	355	3923
166	356	3913
167	357	3896
168	358	3887
169	360	3878
170	361	3871
171	363	3861
172	364	3853
173	366	3842
174	367	3834
175	369	3826
176	369	3810
177	370	3795
178	372	3787
179	373	3781
180	374	3767
181	376	3760
182	377	3751
183	379	3741
184	379	3726
185	381	3719
186	382	3710
187	384	3704
188	385	3692
189	386	3680
190	387	3671
191	389	3664
192	390	3656
193	392	3650
194	393	3643
195	394	3634
196	396	3628
197	397	3622
198	399	3616
199	400	3608
200	402	3602
201	403	3595
202	405	3590
203	407	3583
204	408	3578
205	410	3572
206	411	3566
207	413	3560
208	414	3553
209	416	3548
210	417	3541
211	419	3535
212	420	3530
213	422	3525
214	422	3511
215	424	3506
216	425	3499
217	426	3487
218	428	3481
219	429	3476
220	431	3471
221	432	3465
222	434	3460
223	435	3456
224	437	3451
225	438	3445
226	440	3439
227	441	3433
228	443	3429
229	444	3420
230	445	3414
231	447	3409
232	448	3403
233	450	3398
234	451	3393
235	453	3387
236	454	3383
237	456	3379
238	458	3375
239	459	3367
240	460	3363
241	462	3358
242	463	3353
243	464	3344
244	466	3339
245	467	3335
246	469	3331
247	471	3327
248	472	3323
249	474	3319
250	475	3313
251	477	3309
252	478	3305
253	480	3300
254	481	3296
255	483	3291
256	484	3287
257	486	3283
258	487	3279
259	489	3273
260	490	3269
261	492	3265
262	493	3257
263	494	3254
264	496	3251
265	498	3247
266	499	3242
267	501	3238
268	502	3230
269	503	3227
270	504	3220
271	506	3216
272	507	3212
273	509	3208
274	510	3204
275	512	3201
276	513	3196
277	515	3193
278	517	3189
279	518	3183
280	519	3180
281	521	3175
282	522	3172
283	524	3168
284	525	3164
285	527	3160
286	528	3156
287	530	3151
288	531	3148
289	533	3144
290	533	3135
291	535	3132
292	537	3129
293	538	3126
294	540	3122
295	541	3118
296	543	3115
297	544	3111
298	546	3107
299	547	3103
300	549	3100
301	550	3096
302	552	3093
303	553	3090
304	555	3087
305	557	3083
306	558	3079
307	559	3075
308	560	3067
309	561	3063
310	563	3060
311	564	3056
312	566	3053
313	567	3045
314	568	3042
315	570	3038
316	571	3035
317	573	3032
318	574	3028
319	575	3022
320	577	3019
321	578	3016
322	580	3012
323	581	3010
324	583	3006
325	584	3002
326	586	2999
327	587	2993
328	588	2990
329	590	2987
330	591	2984
331	593	2980
332	594	2976
333	595	2971
334	597	2968
335	598	2965
336	600	2961
337	601	2958
338	603	2955
339	604	2952
340	606	2949
341	607	2946
342	609	2943
343	610	2937
344	611	2934
345	613	2931
346	614	2928
347	615	2923
348	617	2921
349	618	2917
350	619	2910
351	620	2907
352	622	2904
353	623	2898
354	625	2896
355	625	2889
356	626	2884
357	628	2881
358	629	2878
359	631	2876
360	632	2872
361	634	2870
362	635	2866
363	637	2863
364	638	2861
365	640	2858
366	642	2856
367	643	2853
368	644	2850
369	645	2845
370	647	2843
371	649	2840
372	650	2838
373	652	2835
374	653	2831
375	654	2828
376	656	2825
377	657	2822
378	659	2820
379	660	2817
380	662	2814
381	663	2811
382	664	2805
383	666	2803
384	667	2800
385	669	2798
386	670	2795
387	672	2792
388	673	2790
389	675	2787
390	676	2781
391	677	2779
392	678	2776
393	679	2771
394	681	2767
395	682	2765
396	684	2763
397	685	2760
398	687	2759
399	688	2753
400	690	2752
401	691	2749
402	693	2747
403	694	2744
404	696	2742
405	697	2740
406	698	2734
407	699	2728
408	700	2726
409	702	2723
410	703	2717
411	703	2713
412	705	2709
413	706	2707
414	708	2704
415	709	2701
416	710	2698
417	712	2695
418	713	2692
419	715	2690
420	716	2687
421	718	2686
422	719	2680
423	720	2676
424	721	2674
425	723	2672
426	724	2669
427	726	2667
428	727	2664
429	728	2660
430	730	2658
431	731	2656
432	733	2654
433	735	2654
434	737	2652
435	738	2649
436	740	2647
437	740	2642
438	742	2639
439	743	2637
440	745	2635
441	746	2632
442	748	2629
443	749	2627
444	751	2624
445	752	2622
446	753	2617
447	755	2615
448	756	2613
449	758	2611
450	759	2609
451	761	2607
452	761	2602
453	763	2600
454	765	2598
455	766	2596
456	767	2592
457	769	2589
458	770	2585
459	771	2583
460	773	2581
461	774	2578
462	776	2576
463	777	2574
464	778	2570
465	780	2567
466	781	2566
467	783	2563
468	784	2561
469	785	2558
470	787	2556
471	789	2554
472	790	2552
473	791	2548
474	793	2546
475	794	2543
476	795	2541
477	797	2538
478	798	2535
479	799	2533
480	801	2530
481	802	2528
482	803	2524
483	804	2521
484	806	2519
485	807	2516
486	809	2514
487	810	2511
488	812	2509
489	813	2507
490	814	2503
491	816	2501
492	817	2500
493	819	2498
494	821	2496
495	822	2494
496	824	2493
497	825	2491
498	827	2489
499	828	2486
500	830	2484
501	831	2482
502	833	2480
503	834	2478
504	836	2476
505	838	2474
506	839	2472
507	840	2469
508	842	2468
509	843	2464
510	845	2462
511	846	2460
512	848	2458
513	848	2454
514	850	2452
515	852	2450
516	853	2448
517	854	2444
518	855	2442
519	857	2440
520	858	2438
521	860	2436
522	861	2432
523	862	2430
524	864	2428
525	866	2426
526	867	2424
527	868	2422
528	870	2420
529	871	2418
530	873	2416
531	875	2414
532	876	2411
533	877	2409
534	879	2407
535	880	2404
536	881	2401
537	883	2400
538	885	2398
539	886	2397
540	887	2393
541	889	2391
542	889	2387
543	890	2384
544	891	2380
545	893	2378
546	894	2376
547	896	2374
548	897	2370
549	898	2368
550	900	2367
551	901	2365
552	903	2363
553	904	2361
554	905	2358
555	907	2356
556	908	2354
557	910	2353
558	912	2350
559	913	2348
560	914	2344
561	915	2343
562	917	2341
563	918	2339
564	920	2337
565	921	2335
566	923	2333
567	925	2332
568	926	2330
569	928	2328
570	929	2326
571	931	2324
572	932	2323
573	934	2321
574	935	2318
575	937	2316
576	938	2314
577	940	2313
578	941	2311
579	943	2309
580	945	2308
581	946	2306
582	947	2304
583	949	2302
584	950	2299
585	952	2298
586	954	2296
587	955	2294
588	956	2292
589	980	2342
590	985	2349
591	988	2351
592	991	2351
593	993	2351
594	995	2351
595	997	2350
596	1000	2350
597	1001	2348
598	1003	2347
599	1006	2348
600	1008	2348
601	1011	2348
602	1013	2347
603	1015	2348
604	1018	2348
605	1019	2345
606	1022	2346
607	1024	2344
608	1026	2344
609	1027	2341
610	1030	2341
611	1032	2342
612	1035	2342
613	1036	2339
614	1038	2338
615	1041	2339
616	1043	2339
617	1045	2338
618	1048	2339
619	1051	2340
620	1054	2342
621	1057	2343
622	1060	2344
623	1062	2343
624	1064	2341
625	1065	2338
626	1067	2336
627	1068	2334
628	1070	2332
629	1071	2330
630	1073	2328
631	1075	2326
632	1076	2324
633	1077	2322
634	1079	2320
635	1080	2318
636	1082	2316
637	1084	2314
638	1085	2311
639	1086	2308
640	1088	2306
641	1089	2305
642	1091	2303
643	1093	2301
644	1094	2299
645	1095	2297
646	1097	2294
647	1098	2291
648	1099	2289
649	1101	2286
650	1102	2284
651	1103	2281
652	1105	2279
653	1106	2277
654	1108	2275
655	1109	2272
656	1110	2270
657	1111	2266
658	1112	2264
659	1114	2262
660	1115	2260
661	1117	2258
662	1118	2256
663	1120	2254
664	1121	2252
665	1122	2248
666	1124	2246
667	1125	2244
668	1126	2242
669	1128	2239
670	1129	2236
671	1130	2233
672	1130	2229
673	1132	2228
674	1133	2225
675	1136	2225
676	1138	2224
677	1141	2225
678	1143	2224
679	1145	2222
680	1146	2221
681	1148	2219
682	1149	2216
683	1151	2214
684	1152	2213
685	1154	2210
686	1155	2208
687	1157	2207
688	1158	2205
689	1160	2203
690	1161	2199
691	1162	2197
692	1164	2195
693	1165	2194
694	1167	2192
695	1169	2190
696	1170	2188
697	1172	2186
698	1173	2184
699	1174	2181
700	1175	2178
701	1177	2176
702	1178	2173
703	1179	2172
704	1181	2170
705	1182	2167
706	1183	2165
707	1185	2163
708	1186	2160
709	1187	2157
710	1188	2154
711	1189	2152
712	1190	2149
713	1192	2147
714	1193	2145
715	1195	2143
716	1196	2141
717	1198	2139
718	1199	2137
719	1201	2135
720	1202	2132
721	1203	2129
722	1204	2127
723	1205	2124
724	1206	2121
725	1207	2119
726	1209	2117
727	1211	2115
728	1212	2113
729	1214	2112
730	1215	2109
731	1216	2107
732	1218	2106
733	1219	2104
734	1221	2102
735	1222	2100
736	1224	2098
737	1225	2096
738	1227	2094
739	1228	2091
740	1229	2089
741	1231	2087
742	1232	2085
743	1233	2082
744	1235	2080
745	1236	2078
746	1238	2076
747	1239	2074
748	1241	2072
749	1241	2069
750	1242	2067
751	1244	2065
752	1245	2062
753	1247	2060
754	1248	2058
755	1249	2056
756	1251	2054
757	1252	2051
758	1253	2050
759	1254	2046
760	1255	2043
761	1256	2042
762	1258	2040
763	1259	2037
764	1261	2036
765	1262	2034
766	1264	2032
767	1265	2030
768	1267	2028
769	1269	2028
770	1270	2025
771	1272	2023
772	1273	2021
773	1275	2020
774	1276	2018
775	1278	2016
776	1279	2013
777	1280	2010
778	1281	2008
779	1283	2006
780	1284	2005
781	1286	2003
782	1287	2001
783	1289	1999
784	1290	1997
785	1291	1995
786	1292	1992
787	1293	1989
788	1295	1988
789	1296	1985
790	1298	1984
791	1299	1982
792	1301	1980
793	1302	1978
794	1304	1976
795	1305	1974
796	1307	1973
797	1308	1971
798	1309	1969
799	1311	1967
800	1312	1964
801	1313	1961
802	1314	1959
803	1316	1957
804	1316	1954
805	1318	1953
806	1319	1951
807	1320	1948
808	1321	1946
809	1322	1943
810	1323	1940
811	1325	1938
812	1326	1936
813	1327	1933
814	1328	1931
815	1329	1929
816	1330	1927
817	1332	1925
818	1333	1923
819	1335	1921
820	1336	1919
821	1338	1917
822	1339	1915
823	1341	1914
824	1342	1912
825	1344	1910
826	1345	1907
827	1346	1906
828	1347	1903
829	1349	1901
830	1350	1900
831	1352	1898
832	1353	1896
833	1355	1894
834	1356	1893
835	1358	1891
836	1359	1889
837	1360	1886
838	1362	1885
839	1363	1883
840	1365	1881
841	1366	1879
842	1367	1876
843	1368	1874
844	1370	1873
845	1371	1871
846	1373	1869
847	1374	1867
848	1376	1865
849	1377	1864
850	1379	1862
851	1380	1860
852	1382	1858
853	1383	1856
854	1384	1854
855	1386	1852
856	1387	1850
857	1388	1848
858	1390	1846
859	1391	1844
860	1393	1842
861	1394	1841
862	1396	1839
863	1397	1838
864	1398	1835
865	1400	1833
866	1400	1830
867	1402	1828
868	1403	1827
869	1405	1825
870	1406	1823
871	1408	1821
872	1409	1819
873	1411	1818
874	1412	1816
875	1414	1814
876	1415	1813
877	1417	1811
878	1420	1811
879	1422	1810
880	1424	1809
881	1427	1809
882	1429	1808
883	1431	1806
884	1433	1806
885	1436	1805
886	1438	1804
887	1441	1804
888	1443	1804
889	1445	1803
890	1447	1802
891	1449	1800
892	1451	1799
893	1454	1799
894	1457	1798
895	1459	1798
896	1462	1797
897	1464	1797
898	1467	1796
899	1469	1796
900	1471	1794
901	1473	1793
902	1475	1792
903	1477	1790
904	1478	1789
905	1480	1787
906	1482	1786
907	1484	1785
908	1485	1783
909	1487	1781
910	1488	1779
911	1490	1777
912	1491	1775
913	1493	1774
914	1494	1772
915	1496	1770
916	1497	1769
917	1499	1767
918	1501	1765
919	1502	1763
920	1503	1760
921	1504	1758
922	1505	1756
923	1507	1755
924	1508	1753
925	1509	1750
926	1511	1749
927	1512	1747
928	1514	1745
929	1514	1742
930	1516	1741
931	1518	1739
932	1519	1738
933	1521	1736
934	1522	1734
935	1523	1732
936	1524	1729
937	1526	1728
938	1527	1726
939	1529	1724
940	1530	1722
941	1531	1720
942	1533	1718
943	1534	1716
944	1535	1714
945	1536	1712
946	1538	1710
947	1540	1709
948	1541	1707
949	1543	1705
950	1543	1703
951	1545	1701
952	1546	1699
953	1548	1697
954	1550	1696
955	1551	1694
956	1553	1692
957	1554	1691
958	1555	1688
959	1557	1686
960	1558	1685
961	1560	1683
962	1561	1681
963	1562	1679
964	1563	1677
965	1565	1675
966	1566	1673
967	1568	1672
968	1569	1670
969	1571	1668
970	1572	1665
971	1572	1663
972	1573	1661
973	1575	1659
974	1576	1656
975	1577	1655
976	1578	1652
977	1580	1651
978	1581	1649
979	1582	1647
980	1583	1645
981	1585	1643
982	1587	1641
983	1588	1640
984	1589	1638
985	1591	1636
986	1592	1634
987	1594	1632
988	1595	1631
989	1597	1629
990	1598	1627
991	1600	1626
992	1601	1623
993	1602	1622
994	1604	1620
995	1605	1618
996	1607	1617
997	1609	1615
998	1610	1613
999	1612	1612
1000	1613	1610
1001	1614	1608
1002	1616	1606
1003	1618	1605
1004	1619	1603
1005	1620	1601
1006	1622	1599
1007	1623	1597
1008	1624	1595
1009	1626	1593
1010	1627	1592
1011	1628	1589
1012	1629	1587
1013	1631	1586
1014	1632	1584
1015	1633	1582
1016	1635	1580
1017	1636	1579
1018	1637	1576
1019	1639	1575
1020	1640	1573
1021	1642	1571
1022	1643	1569
1023	1644	1567
1024	1646	1565
1025	1647	1564
1026	1649	1562
1027	1650	1560
1028	1652	1559
1029	1653	1557
1030	1655	1555
1031	1656	1554
1032	1658	1552
1033	1659	1550
1034	1660	1548
1035	1662	1546
1036	1663	1544
1037	1664	1542
1038	1665	1540
1039	1667	1539
1040	1668	1537
1041	1669	1534
1042	1670	1533
1043	1672	1531
1044	1674	1529
1045	1675	1528
1046	1677	1526
1047	1679	1525
1048	1680	1523
1049	1681	1521
1050	1683	1519
1051	1684	1518
1052	1685	1515
1053	1687	1514
1054	1688	1512
1055	1689	1510
1056	1691	1508
1057	1692	1507
1058	1694	1505
1059	1695	1503
1060	1697	1502
1061	1698	1500
1062	1700	1498
1063	1701	1496
1064	1702	1494
1065	1704	1493
1066	1705	1491
1067	1707	1489
1068	1708	1487
1069	1709	1485
1070	1711	1484
1071	1711	1481
1072	1713	1480
1073	1714	1478
1074	1715	1476
1075	1716	1474
1076	1718	1472
1077	1719	1471
1078	1721	1469
1079	1722	1467
1080	1724	1465
1081	1725	1463
1082	1726	1461
1083	1728	1460
1084	1729	1458
1085	1731	1457
1086	1732	1455
1087	1734	1453
1088	1735	1451
1089	1736	1449
1090	1738	1448
1091	1739	1446
1092	1740	1444
1093	1741	1442
1094	1743	1440
1095	1744	1439
1096	1745	1437
1097	1747	1435
1098	1750	1434
1099	1751	1433
1100	1753	1431
1101	1754	1429
1102	1755	1427
1103	1756	1425
1104	1758	1424
1105	1760	1422
1106	1761	1420
1107	1763	1419
1108	1764	1417
1109	1765	1415
1110	1766	1413
1111	1768	1411
1112	1769	1410
